0.904,0.75,,/Users/lordvile/Documents/Music/Songs/Dr. Kucho! & Gregor Salto ft. Ane Brun - Can't Stop Playing (Makes Me High) [Oliver Heldens Remix].mp3,,,,,,,,,
0.774,0.522,,/Users/lordvile/Documents/Music/Songs/Rixton_-_Me_and_My_Broken_Heart[GreenMP3.com].mp3,,,,,,,,,
0.571,0.801,,/Users/lordvile/Documents/Music/Songs/Justin Bieber - What Do You Mean.mp3,,,,,,,,,
0.845,0.638,,/Users/lordvile/Documents/Music/Songs/Olly Murs - Up (Feat. Demi Lovato).mp3,,,,,,,,,
0.601,0.329,,/Users/lordvile/Documents/Music/Songs/Bottoms Up (Feat. Nicki Minaj).mp3,,,,,,,,,
0.891,0.677,,/Users/lordvile/Documents/Music/Songs/Where Did the Party Go.mp3,,,,,,,,,
0.858,0.491,,/Users/lordvile/Documents/Music/Songs/Simple Plan - Welcome To My Life_2.mp3,,,,,,,,,
0.0672,0.176,,/Users/lordvile/Documents/Music/Songs/Gregory Alan Isakov - If I Go,,,,,,,,,
0.632,0.194,,/Users/lordvile/Documents/Music/Songs/Mako feat. Angel Taylor - Beam (Dannic Mix)  (Official Music Video).mp3,,,,,,,,,
0.679,0.502,,/Users/lordvile/Documents/Music/Songs/No Country For Old Men - Young Men Dead.mp3,,,,,,,,,
0.753,0.498,,/Users/lordvile/Documents/Music/Songs/Ke$ha feat. will.i.am - Crazy Kids - (www.SongsLover.com).mp3,,,,,,,,,
0.726,0.315,,/Users/lordvile/Documents/Music/Songs/Blue Foundation - Eyes On Fire.mp3,,,,,,,,,
0.794,0.543,,/Users/lordvile/Documents/Music/Songs/Mohombi Ft. Shaggy,,,,,,,,,
0.721,0.389,,/Users/lordvile/Documents/Music/Songs/Jack's Mannequin - Casting Lines  (People and Things Short Film).mp3,,,,,,,,,
0.671,0.213,,/Users/lordvile/Documents/Music/Songs/every day im shuffling BY ___ADID.mp3,,,,,,,,,
0.506,0.283,,/Users/lordvile/Documents/Music/Songs/スパークル [original ver.] -Your name. Music Video edition- 予告編 from new album「人間開花」初回盤DVD.mp3,,,,,,,,,
0.915,0.789,,/Users/lordvile/Documents/Music/Songs/Back-In-Time-Pitbull-BIGTIMEBEATS.mp3,,,,,,,,,
0.843,0.394,,/Users/lordvile/Documents/Music/Songs/Morgan Page - Open Heart feat. Lissie [Lyric Video].mp3,,,,,,,,,
0.845,0.761,,/Users/lordvile/Documents/Music/Songs/Keith Urban & Carrie Underwood - The Fighter.mp3,,,,,,,,,
0.651,0.368,,/Users/lordvile/Documents/Music/Songs/Dua Lipa - Be The One.mp3,,,,,,,,,
0.722,0.413,,/Users/lordvile/Documents/Music/Songs/Seven Lions Feat. Ellie Goulding - Dont Leave.mp3,,,,,,,,,
0.791,0.662,,/Users/lordvile/Documents/Music/Songs/Dawin (feat. Silentó) - Dessert(musicbolt.com).mp3,,,,,,,,,
0.936,0.751,,/Users/lordvile/Documents/Music/Songs/Enrique Iglesias - Dirty Dancer (Feat. Usher).mp3,,,,,,,,,
0.61,0.391,,/Users/lordvile/Documents/Music/Songs/Drake - One Dance feat. Kyla & Wizkid (Lyrics).mp3,,,,,,,,,
0.464,0.457,,/Users/lordvile/Documents/Music/Songs/I Don't Mind (feat. Juicy J).mp3,,,,,,,,,
